Var1,Var3,Var11,Var12,Var13
121,"H","350,4066","332,7273","172,1471"
122,"H","350,4066","332,7273","172,1471"
123,"H","350,3196","337,1682","171,0284"
124,"H","350,3196","337,1682","171,0284"
125,"H","350,3196","337,1682","171,0284"
126,"H","350,3196","337,1682","171,0284"
127,"H","350,3196","337,1682","171,0284"
128,"H","350,3196","337,1682","171,0284"
129,"H","350,3196","337,1682","171,0284"
130,"H","350,3196","337,1682","171,0284"
131,"H","350,3196","337,1682","171,0284"
132,"H","350,3196","337,1682","171,0284"
133,"H","350,3196","337,1682","171,0284"
134,"H","350,3196","337,1682","171,0284"
135,"H","350,3196","337,1682","171,0284"
136,"H","350,3196","337,1682","171,0284"
137,"H","350,6384","342,2722","170,0419"
138,"H","350,6384","342,2722","170,0419"
139,"H","350,6384","342,2722","170,0419"
140,"H","350,6384","342,2722","170,0419"
141,"H","350,6384","342,2722","170,0419"
142,"H","350,6384","342,2722","170,0419"
143,"H","352,0862","348,9924","168,7457"
144,"H","352,0862","348,9924","168,7457"
145,"H","352,0862","348,9924","168,7457"
146,"H","352,0862","348,9924","168,7457"
147,"H","352,0862","348,9924","168,7457"
148,"H","353,5317","354,3202","168,2371"
149,"H","353,5317","354,3202","168,2371"
150,"H","353,5317","354,3202","168,2371"
151,"H","353,5317","354,3202","168,2371"
152,"H","353,5317","354,3202","168,2371"
153,"H","353,5317","354,3202","168,2371"
154,"H","354,3688","354,7031","168,0623"
155,"H","354,3688","354,7031","168,0623"
156,"H","354,3688","354,7031","168,0623"
157,"H","354,3688","354,7031","168,0623"
158,"H","354,3688","354,7031","168,0623"
159,"H","354,4594","354,4629","168,0698"
160,"H","354,4594","354,4629","168,0698"
161,"H","354,4594","354,4629","168,0698"
162,"H","354,4594","354,4629","168,0698"
163,"H","354,4594","354,4629","168,0698"
164,"H","354,4594","354,4629","168,0698"
165,"H","355,1025","356,123","168,2079"
166,"H","355,1025","356,123","168,2079"
167,"H","355,1025","356,123","168,2079"
168,"H","355,1025","356,123","168,2079"
169,"H","355,1025","356,123","168,2079"
170,"H","355,1025","356,123","168,2079"
171,"H","356,9549","0,6459541","168,7327"
172,"H","356,9549","0,6459541","168,7327"
173,"H","356,9549","0,6459541","168,7327"
174,"H","356,9549","0,6459541","168,7327"
175,"H","356,9549","0,6459541","168,7327"
176,"H","359,2785","6,749533","168,8103"
177,"H","359,2785","6,749533","168,8103"
178,"H","359,2785","6,749533","168,8103"
179,"H","359,2785","6,749533","168,8103"
180,"H","359,2785","6,749533","168,8103"
181,"H","359,2785","6,749533","168,8103"
182,"H","0,8608823","10,64508","168,3153"
183,"H","0,8608823","10,64508","168,3153"
184,"H","0,8608823","10,64508","168,3153"
185,"H","0,8608823","10,64508","168,3153"
186,"H","0,8608823","10,64508","168,3153"
187,"H","1,751855","12,04841","167,8353"
188,"H","1,751855","12,04841","167,8353"
189,"H","1,751855","12,04841","167,8353"
190,"H","1,751855","12,04841","167,8353"
191,"H","1,751855","12,04841","167,8353"
192,"H","1,751855","12,04841","167,8353"
193,"H","1,920457","11,44959","166,6854"
194,"H","1,920457","11,44959","166,6854"
195,"H","1,920457","11,44959","166,6854"
196,"H","1,920457","11,44959","166,6854"
