Var1,Var3,Var11,Var12,Var13
123,"H","358,6143","3,2558","176,2913"
124,"H","358,6143","3,2558","176,2913"
125,"H","358,4593","2,788399","177,3247"
126,"H","358,4593","2,788399","177,3247"
127,"H","358,4593","2,788399","177,3247"
128,"H","358,4593","2,788399","177,3247"
129,"H","358,4593","2,788399","177,3247"
130,"H","358,4593","2,788399","177,3247"
131,"H","358,4593","2,788399","177,3247"
132,"H","358,4593","2,788399","177,3247"
133,"H","358,4593","2,788399","177,3247"
134,"H","358,4593","2,788399","177,3247"
135,"H","358,4593","2,788399","177,3247"
136,"H","358,4593","2,788399","177,3247"
137,"H","358,4593","2,788399","177,3247"
138,"H","358,4593","2,788399","177,3247"
139,"H","358,3315","2,557077","177,6689"
140,"H","358,3315","2,557077","177,6689"
141,"H","358,3315","2,557077","177,6689"
142,"H","358,3315","2,557077","177,6689"
143,"H","358,3315","2,557077","177,6689"
144,"H","358,4431","2,666324","177,8993"
145,"H","358,4431","2,666324","177,8993"
146,"H","358,4431","2,666324","177,8993"
147,"H","358,4431","2,666324","177,8993"
148,"H","358,4431","2,666324","177,8993"
149,"H","358,4431","2,666324","177,8993"
150,"H","358,2007","2,544629","178,4704"
151,"H","358,2007","2,544629","178,4704"
152,"H","358,2007","2,544629","178,4704"
153,"H","358,2007","2,544629","178,4704"
154,"H","358,2007","2,544629","178,4704"
155,"H","358,2007","2,544629","178,4704"
156,"H","358,3027","2,307309","178,9345"
157,"H","358,3027","2,307309","178,9345"
158,"H","358,3027","2,307309","178,9345"
159,"H","358,3027","2,307309","178,9345"
160,"H","358,3027","2,307309","178,9345"
161,"H","358,2994","2,191066","179,0508"
162,"H","358,2994","2,191066","179,0508"
163,"H","358,2994","2,191066","179,0508"
164,"H","358,2994","2,191066","179,0508"
165,"H","358,2994","2,191066","179,0508"
166,"H","358,2994","2,191066","179,0508"
167,"H","358,1836","2,304821","179,1613"
168,"H","358,1836","2,304821","179,1613"
169,"H","358,1836","2,304821","179,1613"
170,"H","358,1836","2,304821","179,1613"
171,"H","358,1836","2,304821","179,1613"
172,"H","358,1789","2,301213","179,3905"
173,"H","358,1789","2,301213","179,3905"
174,"H","358,1789","2,301213","179,3905"
175,"H","358,1789","2,301213","179,3905"
176,"H","358,1789","2,301213","179,3905"
177,"H","358,1789","2,301213","179,3905"
178,"H","358,2911","2,298873","179,5073"
179,"H","358,2911","2,298873","179,5073"
180,"H","358,2911","2,298873","179,5073"
181,"H","358,2911","2,298873","179,5073"
182,"H","358,2911","2,298873","179,5073"
183,"H","358,2911","2,298873","179,5073"
184,"H","358,2865","2,295466","179,7365"
185,"H","358,2865","2,295466","179,7365"
186,"H","358,2865","2,295466","179,7365"
187,"H","358,2865","2,295466","179,7365"
188,"H","358,2865","2,295466","179,7365"
189,"H","358,282","2,40661","179,9639"
190,"H","358,282","2,40661","179,9639"
191,"H","358,282","2,40661","179,9639"
192,"H","358,282","2,40661","179,9639"
193,"H","358,282","2,40661","179,9639"
194,"H","358,282","2,40661","179,9639"
195,"H","358,1522","2,164605","180,7672"
196,"H","358,1522","2,164605","180,7672"
197,"H","358,1522","2,164605","180,7672"
198,"H","358,1522","2,164605","180,7672"
199,"H","358,1522","2,164605","180,7672"
200,"H","358,0206","1,681635","182,1479"
201,"H","358,0206","1,681635","182,1479"
202,"H","358,0206","1,681635","182,1479"
203,"H","358,0206","1,681635","182,1479"
204,"H","358,0206","1,681635","182,1479"
205,"H","358,0206","1,681635","182,1479"
206,"H","358,0158","1,443858","182,7274"
207,"H","358,0158","1,443858","182,7274"
208,"H","358,0158","1,443858","182,7274"
209,"H","358,0158","1,443858","182,7274"
210,"H","358,0158","1,443858","182,7274"
211,"H","357,8998","1,439019","182,8407"
212,"H","357,8998","1,439019","182,8407"
213,"H","357,8998","1,439019","182,8407"
214,"H","357,8998","1,439019","182,8407"
215,"H","357,8998","1,439019","182,8407"
216,"H","357,8998","1,439019","182,8407"
217,"H","357,9027","1,324361","182,8428"
218,"H","357,9027","1,324361","182,8428"
219,"H","357,9027","1,324361","182,8428"
220,"H","357,9027","1,324361","182,8428"
221,"H","357,9027","1,324361","182,8428"
222,"H","357,9026","1,443288","182,6114"
223,"H","357,9026","1,443288","182,6114"
224,"H","357,9026","1,443288","182,6114"
225,"H","357,9026","1,443288","182,6114"
226,"H","357,9026","1,443288","182,6114"
227,"H","357,9026","1,443288","182,6114"
228,"H","357,9026","1,443288","182,6114"
229,"H","357,9026","1,443288","182,6114"
230,"H","357,9026","1,443288","182,6114"
