Var1,Var3,Var11,Var12,Var13
115,"H","5,221303","16,14799","180,7412"
116,"H","5,221303","16,14799","180,7412"
117,"H","5,506825","17,75559","180,3964"
118,"H","5,506825","17,75559","180,3964"
119,"H","5,506825","17,75559","180,3964"
120,"H","5,506825","17,75559","180,3964"
121,"H","5,506825","17,75559","180,3964"
122,"H","5,506825","17,75559","180,3964"
123,"H","5,506825","17,75559","180,3964"
124,"H","5,506825","17,75559","180,3964"
125,"H","5,401099","15,90069","180,2914"
126,"H","5,401099","15,90069","180,2914"
127,"H","5,401099","15,90069","180,2914"
128,"H","5,401099","15,90069","180,2914"
129,"H","5,401099","15,90069","180,2914"
130,"H","5,401099","15,90069","180,2914"
131,"H","5,401099","15,90069","180,2914"
132,"H","5,288562","14,50164","180,2108"
133,"H","5,288562","14,50164","180,2108"
134,"H","5,288562","14,50164","180,2108"
135,"H","5,288562","14,50164","180,2108"
136,"H","5,288562","14,50164","180,2108"
137,"H","5,288562","14,50164","180,2108"
138,"H","5,288562","14,50164","180,2108"
139,"H","5,38116","12,43105","180,3557"
140,"H","5,38116","12,43105","180,3557"
141,"H","5,38116","12,43105","180,3557"
142,"H","5,38116","12,43105","180,3557"
143,"H","5,38116","12,43105","180,3557"
144,"H","5,38116","12,43105","180,3557"
145,"H","5,38116","12,43105","180,3557"
146,"H","5,38116","12,43105","180,3557"
147,"H","5,580657","8,988371","180,6691"
148,"H","5,580657","8,988371","180,6691"
149,"H","5,580657","8,988371","180,6691"
150,"H","5,580657","8,988371","180,6691"
151,"H","5,580657","8,988371","180,6691"
152,"H","5,580657","8,988371","180,6691"
153,"H","5,580657","8,988371","180,6691"
154,"H","5,580657","8,988371","180,6691"
155,"H","5,580657","8,988371","180,6691"
156,"H","5,580657","8,988371","180,6691"
157,"H","5,580657","8,988371","180,6691"
158,"H","5,15767","1,264283","180,0569"
159,"H","5,15767","1,264283","180,0569"
160,"H","5,15767","1,264283","180,0569"
161,"H","5,15767","1,264283","180,0569"
162,"H","4,570823","352,9818","179,6046"
163,"H","4,570823","352,9818","179,6046"
164,"H","4,570823","352,9818","179,6046"
165,"H","4,570823","352,9818","179,6046"
166,"H","4,570823","352,9818","179,6046"
167,"H","4,570823","352,9818","179,6046"
168,"H","4,570823","352,9818","179,6046"
169,"H","4,570823","352,9818","179,6046"
170,"H","4,014589","349,0868","179,8467"
171,"H","4,014589","349,0868","179,8467"
172,"H","4,014589","349,0868","179,8467"
173,"H","4,014589","349,0868","179,8467"
174,"H","4,014589","349,0868","179,8467"
175,"H","4,014589","349,0868","179,8467"
176,"H","4,014589","349,0868","179,8467"
177,"H","3,464391","350,1349","180,1611"
178,"H","3,464391","350,1349","180,1611"
179,"H","3,464391","350,1349","180,1611"
180,"H","3,464391","350,1349","180,1611"
181,"H","3,464391","350,1349","180,1611"
182,"H","3,464391","350,1349","180,1611"
183,"H","3,464391","350,1349","180,1611"
184,"H","3,464391","350,1349","180,1611"
185,"H","3,464391","350,1349","180,1611"
186,"H","3,464391","350,1349","180,1611"
187,"H","3,464391","350,1349","180,1611"
188,"H","2,6805","358,1109","182,5936"
189,"H","2,6805","358,1109","182,5936"
190,"H","2,6805","358,1109","182,5936"
191,"H","2,6805","358,1109","182,5936"
192,"H","2,232634","6,530712","185,1813"
193,"H","2,232634","6,530712","185,1813"
194,"H","2,232634","6,530712","185,1813"
195,"H","2,232634","6,530712","185,1813"
196,"H","2,232634","6,530712","185,1813"
197,"H","2,232634","6,530712","185,1813"
198,"H","2,232634","6,530712","185,1813"
199,"H","2,232634","6,530712","185,1813"
200,"H","2,232634","6,530712","185,1813"
201,"H","2,232634","6,530712","185,1813"
202,"H","2,232634","6,530712","185,1813"
203,"H","1,757469","12,28113","186,1844"
204,"H","1,757469","12,28113","186,1844"
205,"H","1,757469","12,28113","186,1844"
206,"H","1,757469","12,28113","186,1844"
207,"H","2,163303","13,3743","187,1831"
208,"H","2,163303","13,3743","187,1831"
209,"H","2,163303","13,3743","187,1831"
210,"H","2,163303","13,3743","187,1831"
211,"H","2,163303","13,3743","187,1831"
212,"H","2,163303","13,3743","187,1831"
213,"H","2,163303","13,3743","187,1831"
214,"H","2,163303","13,3743","187,1831"
215,"H","2,608013","12,37839","187,8957"
216,"H","2,608013","12,37839","187,8957"
217,"H","2,608013","12,37839","187,8957"
218,"H","2,608013","12,37839","187,8957"
219,"H","2,608013","12,37839","187,8957"
220,"H","2,608013","12,37839","187,8957"
221,"H","2,608013","12,37839","187,8957"
222,"H","2,575135","12,15785","188,347"
223,"H","2,575135","12,15785","188,347"
224,"H","2,575135","12,15785","188,347"
225,"H","2,575135","12,15785","188,347"
226,"H","2,575135","12,15785","188,347"
227,"H","2,575135","12,15785","188,347"
228,"H","2,575135","12,15785","188,347"
229,"H","2,575135","12,15785","188,347"
230,"H","2,740218","12,53404","188,7269"
231,"H","2,740218","12,53404","188,7269"
232,"H","2,740218","12,53404","188,7269"
233,"H","2,740218","12,53404","188,7269"
234,"H","2,740218","12,53404","188,7269"
235,"H","2,740218","12,53404","188,7269"
236,"H","2,740218","12,53404","188,7269"
237,"H","2,74058","13,02098","189,4377"
238,"H","2,74058","13,02098","189,4377"
239,"H","2,74058","13,02098","189,4377"
240,"H","2,74058","13,02098","189,4377"
241,"H","2,74058","13,02098","189,4377"
242,"H","2,74058","13,02098","189,4377"
243,"H","2,74058","13,02098","189,4377"
244,"H","2,74058","13,02098","189,4377"
245,"H","2,74058","13,02098","189,4377"
246,"H","2,74058","13,02098","189,4377"
247,"H","2,74058","13,02098","189,4377"
248,"H","3,064319","12,94052","189,7024"
249,"H","3,064319","12,94052","189,7024"
250,"H","3,064319","12,94052","189,7024"
251,"H","3,064319","12,94052","189,7024"
252,"H","3,064319","12,94052","189,7024"
253,"H","3,064319","12,94052","189,7024"
254,"H","3,064319","12,94052","189,7024"
255,"H","3,064319","12,94052","189,7024"
256,"H","3,45461","12,40252","189,7303"
257,"H","3,45461","12,40252","189,7303"
258,"H","3,45461","12,40252","189,7303"
259,"H","3,45461","12,40252","189,7303"
260,"H","3,647609","12,15979","189,1595"
261,"H","3,647609","12,15979","189,1595"
262,"H","3,647609","12,15979","189,1595"
263,"H","3,647609","12,15979","189,1595"
264,"H","3,647609","12,15979","189,1595"
265,"H","3,647609","12,15979","189,1595"
266,"H","3,647609","12,15979","189,1595"
267,"H","3,647609","12,15979","189,1595"
268,"H","3,647609","12,15979","189,1595"
269,"H","3,647609","12,15979","189,1595"
270,"H","3,647609","12,15979","189,1595"
271,"H","4,149053","11,74658","186,7675"
272,"H","4,149053","11,74658","186,7675"
273,"H","4,149053","11,74658","186,7675"
274,"H","4,149053","11,74658","186,7675"
275,"H","4,149053","11,74658","186,7675"
276,"H","4,149053","11,74658","186,7675"
277,"H","4,149053","11,74658","186,7675"
278,"H","4,263089","11,37606","185,8445"
279,"H","4,263089","11,37606","185,8445"
280,"H","4,263089","11,37606","185,8445"
281,"H","4,263089","11,37606","185,8445"
282,"H","4,263089","11,37606","185,8445"
283,"H","3,935819","11,22852","185,6863"
284,"H","3,935819","11,22852","185,6863"
285,"H","3,935819","11,22852","185,6863"
286,"H","3,935819","11,22852","185,6863"
287,"H","3,935819","11,22852","185,6863"
288,"H","3,935819","11,22852","185,6863"
289,"H","3,935819","11,22852","185,6863"
290,"H","3,935819","11,22852","185,6863"
291,"H","3,935819","11,22852","185,6863"
292,"H","3,935819","11,22852","185,6863"
293,"H","3,941851","11,11447","185,6829"
294,"H","3,941851","11,11447","185,6829"
295,"H","3,941851","11,11447","185,6829"
296,"H","3,941851","11,11447","185,6829"
297,"H","3,941851","11,11447","185,6829"
298,"H","3,702276","11,33047","185,6666"
299,"H","3,702276","11,33047","185,6666"
300,"H","3,702276","11,33047","185,6666"
301,"H","3,702276","11,33047","185,6666"
302,"H","3,702276","11,33047","185,6666"
303,"H","3,702276","11,33047","185,6666"
304,"H","3,702276","11,33047","185,6666"
305,"H","3,702276","11,33047","185,6666"
306,"H","3,702276","11,33047","185,6666"
307,"H","3,702276","11,33047","185,6666"
308,"H","3,334451","16,75107","185,7067"
309,"H","3,334451","16,75107","185,7067"
310,"H","3,334451","16,75107","185,7067"
311,"H","3,334451","16,75107","185,7067"
312,"H","3,334451","16,75107","185,7067"
313,"H","3,11831","35,07257","184,5917"
314,"H","3,11831","35,07257","184,5917"
315,"H","3,11831","35,07257","184,5917"
316,"H","3,11831","35,07257","184,5917"
317,"H","3,11831","35,07257","184,5917"
318,"H","3,11831","35,07257","184,5917"
319,"H","3,11831","35,07257","184,5917"
320,"H","3,11831","35,07257","184,5917"
321,"H","3,11831","35,07257","184,5917"
322,"H","3,11831","35,07257","184,5917"
323,"H","3,11831","35,07257","184,5917"
324,"H","3,55337","57,59465","184,9617"
325,"H","3,55337","57,59465","184,9617"
326,"H","3,55337","57,59465","184,9617"
327,"H","3,55337","57,59465","184,9617"
328,"H","3,55337","57,59465","184,9617"
329,"H","3,55337","57,59465","184,9617"
330,"H","3,55337","57,59465","184,9617"
331,"H","4,340509","70,39336","185,5865"
332,"H","4,340509","70,39336","185,5865"
333,"H","4,340509","70,39336","185,5865"
334,"H","4,340509","70,39336","185,5865"
335,"H","4,340509","70,39336","185,5865"
336,"H","5,140313","73,41366","186,5512"
337,"H","5,140313","73,41366","186,5512"
338,"H","5,140313","73,41366","186,5512"
339,"H","5,140313","73,41366","186,5512"
340,"H","5,140313","73,41366","186,5512"
341,"H","5,140313","73,41366","186,5512"
342,"H","5,140313","73,41366","186,5512"
343,"H","5,140313","73,41366","186,5512"
344,"H","5,140313","73,41366","186,5512"
345,"H","5,140313","73,41366","186,5512"
346,"H","4,252731","72,89713","186,9884"
347,"H","4,252731","72,89713","186,9884"
348,"H","4,252731","72,89713","186,9884"
349,"H","4,252731","72,89713","186,9884"
350,"H","4,252731","72,89713","186,9884"
351,"H","2,984215","71,40937","186,6641"
352,"H","2,984215","71,40937","186,6641"
353,"H","2,984215","71,40937","186,6641"
354,"H","2,984215","71,40937","186,6641"
355,"H","2,984215","71,40937","186,6641"
356,"H","2,984215","71,40937","186,6641"
357,"H","2,984215","71,40937","186,6641"
358,"H","2,984215","71,40937","186,6641"
359,"H","2,984215","71,40937","186,6641"
360,"H","2,984215","71,40937","186,6641"
361,"H","3,049532","69,3508","185,8725"
362,"H","3,049532","69,3508","185,8725"
363,"H","3,049532","69,3508","185,8725"
364,"H","3,049532","69,3508","185,8725"
365,"H","3,049532","69,3508","185,8725"
366,"H","2,685629","67,08563","185,0813"
367,"H","2,685629","67,08563","185,0813"
368,"H","2,685629","67,08563","185,0813"
369,"H","2,685629","67,08563","185,0813"
370,"H","2,685629","67,08563","185,0813"
371,"H","2,685629","67,08563","185,0813"
372,"H","2,685629","67,08563","185,0813"
373,"H","2,685629","67,08563","185,0813"
374,"H","2,685629","67,08563","185,0813"
375,"H","2,685629","67,08563","185,0813"
376,"H","1,317411","64,53505","184,3566"
377,"H","1,317411","64,53505","184,3566"
378,"H","1,317411","64,53505","184,3566"
379,"H","1,317411","64,53505","184,3566"
380,"H","1,317411","64,53505","184,3566"
381,"H","359,7956","62,15651","183,8912"
382,"H","359,7956","62,15651","183,8912"
383,"H","359,7956","62,15651","183,8912"
384,"H","359,7956","62,15651","183,8912"
385,"H","359,7956","62,15651","183,8912"
386,"H","359,7956","62,15651","183,8912"
387,"H","359,7956","62,15651","183,8912"
388,"H","359,1848","60,44381","183,9048"
389,"H","359,1848","60,44381","183,9048"
390,"H","359,1848","60,44381","183,9048"
391,"H","359,1848","60,44381","183,9048"
392,"H","359,1848","60,44381","183,9048"
393,"H","359,1848","60,44381","183,9048"
394,"H","359,1848","60,44381","183,9048"
395,"H","359,1848","60,44381","183,9048"
396,"H","359,1848","60,44381","183,9048"
397,"H","359,1848","60,44381","183,9048"
398,"H","359,1848","60,44381","183,9048"
399,"H","359,7145","59,06878","183,525"
400,"H","359,7145","59,06878","183,525"
401,"H","359,7145","59,06878","183,525"
402,"H","359,7145","59,06878","183,525"
403,"H","0,07542484","57,79949","183,1839"
404,"H","0,07542484","57,79949","183,1839"
405,"H","0,07542484","57,79949","183,1839"
406,"H","0,07542484","57,79949","183,1839"
407,"H","0,07542484","57,79949","183,1839"
408,"H","0,07542484","57,79949","183,1839"
409,"H","0,07542484","57,79949","183,1839"
410,"H","0,07542484","57,79949","183,1839"
411,"H","0,07542484","57,79949","183,1839"
412,"H","0,07542484","57,79949","183,1839"
413,"H","0,07542484","57,79949","183,1839"
414,"H","0,6461002","57,04909","183,6131"
415,"H","0,6461002","57,04909","183,6131"
