Var1,Var3,Var11,Var12,Var13
123,"H","355,6552","340,6418","177,0199"
124,"H","355,6552","340,6418","177,0199"
125,"H","357,8542","0,679027","174,3712"
126,"H","357,8542","0,679027","174,3712"
127,"H","357,8542","0,679027","174,3712"
128,"H","357,8542","0,679027","174,3712"
129,"H","357,8542","0,679027","174,3712"
130,"H","357,8542","0,679027","174,3712"
131,"H","357,8542","0,679027","174,3712"
132,"H","357,8542","0,679027","174,3712"
133,"H","357,8542","0,679027","174,3712"
134,"H","357,8542","0,679027","174,3712"
135,"H","357,8542","0,679027","174,3712"
136,"H","357,8542","0,679027","174,3712"
137,"H","357,8542","0,679027","174,3712"
138,"H","357,8542","0,679027","174,3712"
139,"H","358,5283","4,669326","173,8602"
140,"H","358,5283","4,669326","173,8602"
141,"H","358,5283","4,669326","173,8602"
142,"H","358,5283","4,669326","173,8602"
143,"H","358,5283","4,669326","173,8602"
144,"H","359,1025","6,707829","173,7469"
145,"H","359,1025","6,707829","173,7469"
146,"H","359,1025","6,707829","173,7469"
147,"H","359,1025","6,707829","173,7469"
148,"H","359,1025","6,707829","173,7469"
149,"H","359,1025","6,707829","173,7469"
150,"H","359,7421","7,93993","173,7754"
151,"H","359,7421","7,93993","173,7754"
152,"H","359,7421","7,93993","173,7754"
153,"H","359,7421","7,93993","173,7754"
154,"H","359,7421","7,93993","173,7754"
155,"H","359,7421","7,93993","173,7754"
156,"H","0,1260755","10,79766","173,7927"
157,"H","0,1260755","10,79766","173,7927"
158,"H","0,1260755","10,79766","173,7927"
159,"H","0,1260755","10,79766","173,7927"
160,"H","0,1260755","10,79766","173,7927"
161,"H","0,6887328","17,00182","173,8461"
162,"H","0,6887328","17,00182","173,8461"
163,"H","0,6887328","17,00182","173,8461"
164,"H","0,6887328","17,00182","173,8461"
165,"H","0,6887328","17,00182","173,8461"
166,"H","0,6887328","17,00182","173,8461"
167,"H","0,8793484","23,63607","174,6813"
168,"H","0,8793484","23,63607","174,6813"
169,"H","0,8793484","23,63607","174,6813"
170,"H","0,8793484","23,63607","174,6813"
171,"H","0,8793484","23,63607","174,6813"
172,"H","0,8793484","23,63607","174,6813"
173,"H","1,062281","27,52693","175,1837"
174,"H","1,062281","27,52693","175,1837"
175,"H","1,062281","27,52693","175,1837"
176,"H","1,062281","27,52693","175,1837"
177,"H","1,062281","27,52693","175,1837"
178,"H","0,9476966","28,11684","175,2736"
179,"H","0,9476966","28,11684","175,2736"
180,"H","0,9476966","28,11684","175,2736"
181,"H","0,9476966","28,11684","175,2736"
182,"H","0,9476966","28,11684","175,2736"
183,"H","0,9476966","28,11684","175,2736"
184,"H","0,777706","26,70483","175,2362"
185,"H","0,777706","26,70483","175,2362"
186,"H","0,777706","26,70483","175,2362"
187,"H","0,777706","26,70483","175,2362"
188,"H","0,777706","26,70483","175,2362"
189,"H","0,7904404","24,92615","175,3638"
190,"H","0,7904404","24,92615","175,3638"
191,"H","0,7904404","24,92615","175,3638"
192,"H","0,7904404","24,92615","175,3638"
193,"H","0,7904404","24,92615","175,3638"
194,"H","0,7904404","24,92615","175,3638"
195,"H","0,8743572","23,64076","175,2649"
196,"H","0,8743572","23,64076","175,2649"
197,"H","0,8743572","23,64076","175,2649"
198,"H","0,8743572","23,64076","175,2649"
199,"H","0,8743572","23,64076","175,2649"
200,"H","0,5345138","20,39179","175,0867"
201,"H","0,5345138","20,39179","175,0867"
202,"H","0,5345138","20,39179","175,0867"
203,"H","0,5345138","20,39179","175,0867"
204,"H","0,5345138","20,39179","175,0867"
205,"H","0,5345138","20,39179","175,0867"
206,"H","359,6557","10,35226","174,9047"
207,"H","359,6557","10,35226","174,9047"
208,"H","359,6557","10,35226","174,9047"
209,"H","359,6557","10,35226","174,9047"
210,"H","359,6557","10,35226","174,9047"
211,"H","358,3497","1,456009","174,4774"
212,"H","358,3497","1,456009","174,4774"
213,"H","358,3497","1,456009","174,4774"
214,"H","358,3497","1,456009","174,4774"
215,"H","358,3497","1,456009","174,4774"
216,"H","358,3497","1,456009","174,4774"
217,"H","357,1726","355,7638","174,9411"
218,"H","357,1726","355,7638","174,9411"
219,"H","357,1726","355,7638","174,9411"
220,"H","357,1726","355,7638","174,9411"
221,"H","357,1726","355,7638","174,9411"
222,"H","356,1982","353,3643","175,855"
223,"H","356,1982","353,3643","175,855"
224,"H","356,1982","353,3643","175,855"
225,"H","356,1982","353,3643","175,855"
226,"H","356,1982","353,3643","175,855"
227,"H","356,1982","353,3643","175,855"
228,"H","355,635","351,0396","177,1216"
229,"H","355,635","351,0396","177,1216"
230,"H","355,635","351,0396","177,1216"
231,"H","355,635","351,0396","177,1216"
232,"H","355,635","351,0396","177,1216"
233,"H","355,635","351,0396","177,1216"
234,"H","355,0097","348,8581","177,26"
235,"H","355,0097","348,8581","177,26"
236,"H","355,0097","348,8581","177,26"
237,"H","355,0097","348,8581","177,26"
238,"H","355,0097","348,8581","177,26"
239,"H","354,5519","346,6979","176,8251"
240,"H","354,5519","346,6979","176,8251"
241,"H","354,5519","346,6979","176,8251"
242,"H","354,5519","346,6979","176,8251"
243,"H","354,5519","346,6979","176,8251"
244,"H","354,5519","346,6979","176,8251"
245,"H","354,4084","345,3882","175,1658"
246,"H","354,4084","345,3882","175,1658"
247,"H","354,4084","345,3882","175,1658"
248,"H","354,4084","345,3882","175,1658"
249,"H","354,4084","345,3882","175,1658"
250,"H","354,2352","344,4574","175,1089"
251,"H","354,2352","344,4574","175,1089"
252,"H","354,2352","344,4574","175,1089"
253,"H","354,2352","344,4574","175,1089"
254,"H","354,2352","344,4574","175,1089"
255,"H","354,2352","344,4574","175,1089"
256,"H","353,7505","344,0246","175,0836"
257,"H","353,7505","344,0246","175,0836"
258,"H","353,7505","344,0246","175,0836"
259,"H","353,7505","344,0246","175,0836"
260,"H","353,7505","344,0246","175,0836"
261,"H","353,5835","344,0341","174,7533"
262,"H","353,5835","344,0341","174,7533"
263,"H","353,5835","344,0341","174,7533"
264,"H","353,5835","344,0341","174,7533"
265,"H","353,5835","344,0341","174,7533"
266,"H","353,5835","344,0341","174,7533"
267,"H","353,34","344,3677","175,3524"
268,"H","353,34","344,3677","175,3524"
269,"H","353,34","344,3677","175,3524"
270,"H","353,34","344,3677","175,3524"
271,"H","353,34","344,3677","175,3524"
272,"H","353,576","344,3077","176,2494"
273,"H","353,576","344,3077","176,2494"
274,"H","353,576","344,3077","176,2494"
275,"H","353,576","344,3077","176,2494"
276,"H","353,576","344,3077","176,2494"
277,"H","353,576","344,3077","176,2494"
278,"H","354,2496","344,2974","178,5924"
279,"H","354,2496","344,2974","178,5924"
280,"H","354,2496","344,2974","178,5924"
281,"H","354,2496","344,2974","178,5924"
282,"H","354,2496","344,2974","178,5924"
283,"H","354,2496","344,2974","178,5924"
284,"H","354,4885","344,0235","179,4996"
285,"H","354,4885","344,0235","179,4996"
286,"H","354,4885","344,0235","179,4996"
287,"H","354,4885","344,0235","179,4996"
288,"H","354,4885","344,0235","179,4996"
289,"H","354,8879","342,9995","179,1409"
