Var1,Var3,Var11,Var12,Var13
189,"H","1,386636","32,96341","174,9122"
190,"H","1,386636","32,96341","174,9122"
191,"H","1,386636","32,96341","174,9122"
192,"H","1,386636","32,96341","174,9122"
193,"H","1,386636","32,96341","174,9122"
194,"H","1,386636","32,96341","174,9122"
195,"H","1,386636","32,96341","174,9122"
196,"H","1,386636","32,96341","174,9122"
197,"H","1,386636","32,96341","174,9122"
198,"H","1,386636","32,96341","174,9122"
199,"H","1,386636","32,96341","174,9122"
200,"H","1,386636","32,96341","174,9122"
201,"H","1,386636","32,96341","174,9122"
202,"H","1,386636","32,96341","174,9122"
203,"H","2,596966","22,87233","175,2619"
204,"H","2,596966","22,87233","175,2619"
205,"H","2,596966","22,87233","175,2619"
206,"H","2,596966","22,87233","175,2619"
207,"H","2,596966","22,87233","175,2619"
208,"H","2,596966","22,87233","175,2619"
209,"H","2,427556","21,4831","175,2078"
210,"H","2,427556","21,4831","175,2078"
211,"H","2,427556","21,4831","175,2078"
212,"H","2,427556","21,4831","175,2078"
213,"H","2,427556","21,4831","175,2078"
214,"H","2,427556","21,4831","175,2078"
215,"H","2,31544","21,01268","175,0656"
216,"H","2,31544","21,01268","175,0656"
217,"H","2,31544","21,01268","175,0656"
218,"H","2,31544","21,01268","175,0656"
219,"H","2,31544","21,01268","175,0656"
220,"H","2,31544","21,01268","175,0656"
221,"H","2,275461","20,53947","173,8847"
222,"H","2,275461","20,53947","173,8847"
223,"H","2,275461","20,53947","173,8847"
224,"H","2,275461","20,53947","173,8847"
225,"H","2,275461","20,53947","173,8847"
226,"H","2,669487","20,14009","172,2034"
227,"H","2,669487","20,14009","172,2034"
228,"H","2,669487","20,14009","172,2034"
229,"H","2,669487","20,14009","172,2034"
230,"H","2,669487","20,14009","172,2034"
231,"H","2,669487","20,14009","172,2034"
232,"H","3,971813","20,36237","169,6286"
233,"H","3,971813","20,36237","169,6286"
234,"H","3,971813","20,36237","169,6286"
235,"H","3,971813","20,36237","169,6286"
236,"H","3,971813","20,36237","169,6286"
237,"H","5,687839","21,5235","166,209"
238,"H","5,687839","21,5235","166,209"
239,"H","5,687839","21,5235","166,209"
240,"H","5,687839","21,5235","166,209"
241,"H","5,687839","21,5235","166,209"
242,"H","5,687839","21,5235","166,209"
243,"H","6,90397","22,93854","163,5363"
244,"H","6,90397","22,93854","163,5363"
245,"H","6,90397","22,93854","163,5363"
246,"H","6,90397","22,93854","163,5363"
247,"H","6,90397","22,93854","163,5363"
248,"H","6,90397","22,93854","163,5363"
249,"H","8,298877","24,21277","160,8686"
250,"H","8,298877","24,21277","160,8686"
251,"H","8,298877","24,21277","160,8686"
252,"H","8,298877","24,21277","160,8686"
253,"H","8,298877","24,21277","160,8686"
254,"H","9,943955","25,38594","157,8908"
255,"H","9,943955","25,38594","157,8908"
256,"H","9,943955","25,38594","157,8908"
257,"H","9,943955","25,38594","157,8908"
258,"H","9,943955","25,38594","157,8908"
259,"H","9,943955","25,38594","157,8908"
260,"H","11,57462","26,63253","154,9055"
261,"H","11,57462","26,63253","154,9055"
262,"H","11,57462","26,63253","154,9055"
263,"H","11,57462","26,63253","154,9055"
264,"H","11,57462","26,63253","154,9055"
265,"H","11,57462","26,63253","154,9055"
266,"H","11,57462","26,63253","154,9055"
267,"H","11,57462","26,63253","154,9055"
268,"H","11,57462","26,63253","154,9055"
269,"H","11,57462","26,63253","154,9055"
270,"H","11,57462","26,63253","154,9055"
271,"H","11,57462","26,63253","154,9055"
272,"H","11,57462","26,63253","154,9055"
273,"H","11,57462","26,63253","154,9055"
274,"H","11,57462","26,63253","154,9055"
275,"H","11,57462","26,63253","154,9055"
276,"H","11,57462","26,63253","154,9055"
277,"H","11,57462","26,63253","154,9055"
278,"H","11,57462","26,63253","154,9055"
279,"H","11,57462","26,63253","154,9055"
280,"H","11,57462","26,63253","154,9055"
281,"H","11,57462","26,63253","154,9055"
282,"H","11,57462","26,63253","154,9055"
283,"H","11,57462","26,63253","154,9055"
284,"H","11,57462","26,63253","154,9055"
285,"H","11,57462","26,63253","154,9055"
286,"H","11,57462","26,63253","154,9055"
287,"H","11,57462","26,63253","154,9055"
288,"H","11,57462","26,63253","154,9055"
289,"H","11,57462","26,63253","154,9055"
290,"H","11,57462","26,63253","154,9055"
291,"H","11,57462","26,63253","154,9055"
292,"H","11,57462","26,63253","154,9055"
293,"H","11,57462","26,63253","154,9055"
294,"H","11,57462","26,63253","154,9055"
295,"H","11,57462","26,63253","154,9055"
296,"H","11,57462","26,63253","154,9055"
297,"H","11,57462","26,63253","154,9055"
298,"H","11,57462","26,63253","154,9055"
299,"H","11,57462","26,63253","154,9055"
300,"H","16,52127","30,34558","148,4354"
301,"H","16,52127","30,34558","148,4354"
302,"H","16,52127","30,34558","148,4354"
303,"H","17,99474","32,16531","146,8694"
304,"H","17,99474","32,16531","146,8694"
305,"H","17,99474","32,16531","146,8694"
306,"H","18,66901","34,19096","146,9216"
307,"H","18,66901","34,19096","146,9216"
308,"H","18,66901","34,19096","146,9216"
309,"H","17,98671","36,94625","149,2605"
310,"H","17,98671","36,94625","149,2605"
311,"H","17,98671","36,94625","149,2605"
312,"H","15,81718","41,56927","155,1469"
313,"H","15,81718","41,56927","155,1469"
314,"H","15,81718","41,56927","155,1469"
315,"H","15,81718","41,56927","155,1469"
316,"H","15,81718","41,56927","155,1469"
317,"H","15,81718","41,56927","155,1469"
318,"H","12,03052","54,58515","165,7882"
319,"H","12,03052","54,58515","165,7882"
320,"H","12,03052","54,58515","165,7882"
321,"H","10,7809","62,38147","168,873"
322,"H","10,7809","62,38147","168,873"
323,"H","10,7809","62,38147","168,873"
324,"H","9,687139","69,24109","171,0277"
325,"H","9,687139","69,24109","171,0277"
326,"H","9,687139","69,24109","171,0277"
327,"H","8,122917","75,38758","173,0561"
328,"H","8,122917","75,38758","173,0561"
329,"H","8,122917","75,38758","173,0561"
330,"H","8,122917","75,38758","173,0561"
331,"H","6,610956","80,62804","174,1599"
332,"H","6,610956","80,62804","174,1599"
333,"H","6,610956","80,62804","174,1599"
334,"H","6,610956","80,62804","174,1599"
335,"H","6,610956","80,62804","174,1599"
336,"H","5,671704","84,29533","174,7593"
337,"H","5,671704","84,29533","174,7593"
338,"H","5,671704","84,29533","174,7593"
339,"H","5,671704","84,29533","174,7593"
340,"H","5,671704","84,29533","174,7593"
341,"H","5,671704","84,29533","174,7593"
342,"H","5,341355","86,01916","174,7787"
343,"H","5,341355","86,01916","174,7787"
344,"H","5,341355","86,01916","174,7787"
345,"H","5,341355","86,01916","174,7787"
346,"H","5,341355","86,01916","174,7787"
347,"H","4,891744","86,78179","174,9927"
348,"H","4,891744","86,78179","174,9927"
349,"H","4,891744","86,78179","174,9927"
350,"H","4,891744","86,78179","174,9927"
351,"H","4,891744","86,78179","174,9927"
352,"H","4,891744","86,78179","174,9927"
353,"H","3,762877","86,76405","175,3513"
354,"H","3,762877","86,76405","175,3513"
355,"H","3,762877","86,76405","175,3513"
356,"H","3,762877","86,76405","175,3513"
357,"H","3,762877","86,76405","175,3513"
358,"H","1,463592","85,72722","175,7272"
359,"H","1,463592","85,72722","175,7272"
360,"H","1,463592","85,72722","175,7272"
361,"H","1,463592","85,72722","175,7272"
362,"H","1,463592","85,72722","175,7272"
363,"H","1,463592","85,72722","175,7272"
364,"H","358,9304","81,59579","176,5038"
365,"H","358,9304","81,59579","176,5038"
366,"H","358,9304","81,59579","176,5038"
367,"H","358,9304","81,59579","176,5038"
368,"H","358,9304","81,59579","176,5038"
369,"H","358,9304","81,59579","176,5038"
370,"H","357,4662","73,12265","177,8354"
371,"H","357,4662","73,12265","177,8354"
372,"H","357,4662","73,12265","177,8354"
373,"H","357,4662","73,12265","177,8354"
374,"H","357,4662","73,12265","177,8354"
375,"H","357,1553","62,60278","178,941"
376,"H","357,1553","62,60278","178,941"
377,"H","357,1553","62,60278","178,941"
378,"H","357,1553","62,60278","178,941"
379,"H","357,1553","62,60278","178,941"
380,"H","357,1553","62,60278","178,941"
381,"H","356,5154","52,10219","180,0826"
382,"H","356,5154","52,10219","180,0826"
383,"H","356,5154","52,10219","180,0826"
384,"H","356,5154","52,10219","180,0826"
385,"H","356,5154","52,10219","180,0826"
386,"H","355,7598","42,18652","181,4368"
387,"H","355,7598","42,18652","181,4368"
388,"H","355,7598","42,18652","181,4368"
389,"H","355,7598","42,18652","181,4368"
390,"H","355,7598","42,18652","181,4368"
391,"H","355,7598","42,18652","181,4368"
392,"H","355,1519","33,62442","182,9672"
393,"H","355,1519","33,62442","182,9672"
394,"H","355,1519","33,62442","182,9672"
395,"H","355,1519","33,62442","182,9672"
396,"H","355,1519","33,62442","182,9672"
397,"H","354,2756","27,84772","184,4935"
398,"H","354,2756","27,84772","184,4935"
399,"H","354,2756","27,84772","184,4935"
400,"H","354,2756","27,84772","184,4935"
401,"H","354,2756","27,84772","184,4935"
402,"H","354,2756","27,84772","184,4935"
403,"H","352,8684","24,89593","186,1928"
404,"H","352,8684","24,89593","186,1928"
405,"H","352,8684","24,89593","186,1928"
406,"H","352,8684","24,89593","186,1928"
407,"H","352,8684","24,89593","186,1928"
408,"H","351,0678","25,48857","188,7169"
409,"H","351,0678","25,48857","188,7169"
410,"H","351,0678","25,48857","188,7169"
411,"H","351,0678","25,48857","188,7169"
412,"H","351,0678","25,48857","188,7169"
413,"H","351,0678","25,48857","188,7169"
414,"H","350,0089","27,9439","190,097"
415,"H","350,0089","27,9439","190,097"
416,"H","350,0089","27,9439","190,097"
417,"H","350,0089","27,9439","190,097"
418,"H","350,0089","27,9439","190,097"
419,"H","350,0089","27,9439","190,097"
420,"H","349,549","30,89751","190,1405"
421,"H","349,549","30,89751","190,1405"
422,"H","349,549","30,89751","190,1405"
423,"H","349,549","30,89751","190,1405"
424,"H","349,549","30,89751","190,1405"
425,"H","349,7103","33,68981","189,7563"
426,"H","349,7103","33,68981","189,7563"
427,"H","349,7103","33,68981","189,7563"
428,"H","349,7103","33,68981","189,7563"
429,"H","349,7103","33,68981","189,7563"
430,"H","349,7103","33,68981","189,7563"
431,"H","350,021","36,04155","189,4667"
432,"H","350,021","36,04155","189,4667"
433,"H","350,021","36,04155","189,4667"
434,"H","350,021","36,04155","189,4667"
435,"H","350,021","36,04155","189,4667"
436,"H","350,3305","36,79732","189,0294"
437,"H","350,3305","36,79732","189,0294"
438,"H","350,3305","36,79732","189,0294"
439,"H","350,3305","36,79732","189,0294"
440,"H","350,3305","36,79732","189,0294"
441,"H","350,3305","36,79732","189,0294"
442,"H","350,8271","35,51801","188,6578"
443,"H","350,8271","35,51801","188,6578"
444,"H","350,8271","35,51801","188,6578"
445,"H","350,8271","35,51801","188,6578"
446,"H","350,8271","35,51801","188,6578"
447,"H","351,6329","34,27917","188,0111"
448,"H","351,6329","34,27917","188,0111"
449,"H","351,6329","34,27917","188,0111"
450,"H","351,6329","34,27917","188,0111"
451,"H","351,6329","34,27917","188,0111"
452,"H","351,6329","34,27917","188,0111"
453,"H","352,3838","33,8475","187,6553"
454,"H","352,3838","33,8475","187,6553"
455,"H","352,3838","33,8475","187,6553"
456,"H","352,3838","33,8475","187,6553"
457,"H","352,3838","33,8475","187,6553"
458,"H","352,8947","34,2482","187,0663"
459,"H","352,8947","34,2482","187,0663"
460,"H","352,8947","34,2482","187,0663"
461,"H","352,8947","34,2482","187,0663"
462,"H","352,8947","34,2482","187,0663"
463,"H","352,8947","34,2482","187,0663"
464,"H","352,8947","34,2482","187,0663"
465,"H","353,3466","34,51643","186,7099"
466,"H","353,3466","34,51643","186,7099"
467,"H","353,3466","34,51643","186,7099"
468,"H","353,3466","34,51643","186,7099"
469,"H","353,3466","34,51643","186,7099"
470,"H","353,5358","34,90893","186,3939"
471,"H","353,5358","34,90893","186,3939"
472,"H","353,5358","34,90893","186,3939"
473,"H","353,5358","34,90893","186,3939"
474,"H","353,5358","34,90893","186,3939"
475,"H","353,7467","34,93692","186,0987"
476,"H","353,7467","34,93692","186,0987"
477,"H","353,7467","34,93692","186,0987"
478,"H","353,7467","34,93692","186,0987"
479,"H","353,7467","34,93692","186,0987"
480,"H","353,7467","34,93692","186,0987"
481,"H","353,9621","34,22935","185,9511"
482,"H","353,9621","34,22935","185,9511"
483,"H","353,9621","34,22935","185,9511"
484,"H","353,9621","34,22935","185,9511"
485,"H","353,9621","34,22935","185,9511"
486,"H","353,9621","34,22935","185,9511"
487,"H","354,603","32,93129","185,7057"
488,"H","354,603","32,93129","185,7057"
489,"H","354,603","32,93129","185,7057"
490,"H","354,603","32,93129","185,7057"
491,"H","354,603","32,93129","185,7057"
492,"H","355,1277","31,6287","185,4151"
493,"H","355,1277","31,6287","185,4151"
494,"H","355,1277","31,6287","185,4151"
495,"H","355,1277","31,6287","185,4151"
496,"H","355,1277","31,6287","185,4151"
497,"H","355,1277","31,6287","185,4151"
498,"H","355,5086","30,82477","185,0681"
499,"H","355,5086","30,82477","185,0681"
500,"H","355,5086","30,82477","185,0681"
501,"H","355,5086","30,82477","185,0681"
502,"H","355,5086","30,82477","185,0681"
503,"H","355,4817","30,24864","184,8413"
504,"H","355,4817","30,24864","184,8413"
505,"H","355,4817","30,24864","184,8413"
506,"H","355,4817","30,24864","184,8413"
507,"H","355,4817","30,24864","184,8413"
508,"H","355,4817","30,24864","184,8413"
509,"H","355,6219","30,25769","184,7602"
510,"H","355,6219","30,25769","184,7602"
511,"H","355,6219","30,25769","184,7602"
512,"H","355,6219","30,25769","184,7602"
513,"H","355,6219","30,25769","184,7602"
514,"H","355,9943","30,75169","184,611"
515,"H","355,9943","30,75169","184,611"
516,"H","355,9943","30,75169","184,611"
517,"H","355,9943","30,75169","184,611"
518,"H","355,9943","30,75169","184,611"
519,"H","355,9943","30,75169","184,611"
520,"H","356,2237","31,34694","184,54"
521,"H","356,2237","31,34694","184,54"
522,"H","356,2237","31,34694","184,54"
523,"H","356,2237","31,34694","184,54"
524,"H","356,2237","31,34694","184,54"
525,"H","356,2237","31,34694","184,54"
526,"H","356,865","31,86349","183,8768"
527,"H","356,865","31,86349","183,8768"
528,"H","356,865","31,86349","183,8768"
529,"H","356,865","31,86349","183,8768"
530,"H","356,865","31,86349","183,8768"
531,"H","357,4619","32,597","182,9607"
532,"H","357,4619","32,597","182,9607"
533,"H","357,4619","32,597","182,9607"
534,"H","357,4619","32,597","182,9607"
535,"H","357,4619","32,597","182,9607"
536,"H","357,4619","32,597","182,9607"
537,"H","357,8905","33,4561","182,2391"
538,"H","357,8905","33,4561","182,2391"
539,"H","357,8905","33,4561","182,2391"
540,"H","357,8905","33,4561","182,2391"
541,"H","357,8905","33,4561","182,2391"
542,"H","358,3298","34,30968","181,524"
543,"H","358,3298","34,30968","181,524"
544,"H","358,3298","34,30968","181,524"
545,"H","358,3298","34,30968","181,524"
546,"H","358,3298","34,30968","181,524"
547,"H","358,3298","34,30968","181,524"
548,"H","358,6363","35,04628","180,892"
549,"H","358,6363","35,04628","180,892"
550,"H","358,6363","35,04628","180,892"
551,"H","358,6363","35,04628","180,892"
552,"H","358,6363","35,04628","180,892"
553,"H","359,0259","35,6343","180,4091"
554,"H","359,0259","35,6343","180,4091"
555,"H","359,0259","35,6343","180,4091"
556,"H","359,0259","35,6343","180,4091"
557,"H","359,0259","35,6343","180,4091"
558,"H","359,0259","35,6343","180,4091"
559,"H","359,4216","36,25214","180,2931"
560,"H","359,4216","36,25214","180,2931"
561,"H","359,4216","36,25214","180,2931"
562,"H","359,4216","36,25214","180,2931"
563,"H","359,4216","36,25214","180,2931"
564,"H","359,4216","36,25214","180,2931"
565,"H","359,2758","36,61384","180,3641"
566,"H","359,2758","36,61384","180,3641"
567,"H","359,2758","36,61384","180,3641"
568,"H","359,2758","36,61384","180,3641"
569,"H","359,2758","36,61384","180,3641"
570,"H","359,0962","36,46707","180,5466"
571,"H","359,0962","36,46707","180,5466"
572,"H","359,0962","36,46707","180,5466"
573,"H","359,0962","36,46707","180,5466"
574,"H","359,0962","36,46707","180,5466"
575,"H","359,0962","36,46707","180,5466"
576,"H","359,2409","36,46825","180,4736"
577,"H","359,2409","36,46825","180,4736"
578,"H","359,2409","36,46825","180,4736"
579,"H","359,2409","36,46825","180,4736"
580,"H","359,2409","36,46825","180,4736"
581,"H","359,529","37,08749","179,9629"
582,"H","359,529","37,08749","179,9629"
583,"H","359,529","37,08749","179,9629"
584,"H","359,529","37,08749","179,9629"
585,"H","359,529","37,08749","179,9629"
586,"H","359,529","37,08749","179,9629"
587,"H","359,6994","40,35011","179,1574"
588,"H","359,6994","40,35011","179,1574"
589,"H","359,6994","40,35011","179,1574"
590,"H","359,6994","40,35011","179,1574"
591,"H","359,6994","40,35011","179,1574"
592,"H","0,02271417","49,07728","177,7415"
593,"H","0,02271417","49,07728","177,7415"
594,"H","0,02271417","49,07728","177,7415"
595,"H","0,02271417","49,07728","177,7415"
596,"H","0,02271417","49,07728","177,7415"
597,"H","0,02271417","49,07728","177,7415"
598,"H","0,900108","60,02855","176,1504"
599,"H","0,900108","60,02855","176,1504"
600,"H","0,900108","60,02855","176,1504"
601,"H","0,900108","60,02855","176,1504"
602,"H","0,900108","60,02855","176,1504"
603,"H","1,722746","68,96049","175,0626"
604,"H","1,722746","68,96049","175,0626"
605,"H","1,722746","68,96049","175,0626"
606,"H","1,722746","68,96049","175,0626"
607,"H","1,722746","68,96049","175,0626"
608,"H","1,722746","68,96049","175,0626"
609,"H","2,44432","74,9048","174,3596"
610,"H","2,44432","74,9048","174,3596"
611,"H","2,44432","74,9048","174,3596"
612,"H","2,44432","74,9048","174,3596"
613,"H","2,44432","74,9048","174,3596"
614,"H","2,44432","74,9048","174,3596"
